Name;Coordinates
Wauthier-Braine;50.68183, 4.29849
Watermael-Boitsfort;50.80154, 4.41436
Waanrode;50.91624, 5.00479
Vinkt;51.00864, 3.47878
Torhout;51.0656, 3.10085
Tielt;50.9421, 4.90505
Suarlée;50.48137, 4.7792
Stokrooie;50.96637, 5.28142
Souvret;50.4486, 4.34569
's-Gravenwezel;51.26267, 4.56113
Ruisbroek;50.79015, 4.29771
Robertville;50.45406, 6.12205
Pittem;50.99279, 3.26317
Overijse;50.77436, 4.53461
Outer;50.84189, 3.9987
Ophasselt;50.81729, 3.89293
Nassogne;50.12849, 5.34274
Morkhoven;51.11888, 4.81877
Melsen;50.95622, 3.69567
Meerdonk;51.26667, 4.15
Meer;51.44641, 4.73906
La Hulpe;50.73091, 4.48577
Kuringen;50.94426, 5.29902
Kortrijk-Dutsel;50.92676, 4.80799
Koekelberg;50.86117, 4.33136
Jemeppe-sur-Sambre;50.46543, 4.6655
Houyet;50.18619, 5.00762
Hognoul;50.68178, 5.45385
Heppenbach;50.3626, 6.21826
Hakendover;50.7959, 4.98231
Haillot;50.44247, 5.15413
Gruitrode;51.08936, 5.58824
Gozée;50.33461, 4.35273
Gougnies;50.35543, 4.57615
Gottignies;50.4953, 4.05996
Francorchamps;50.45353, 5.95276
Forville;50.57424, 4.99861
Forêt;50.58387, 5.7
Fayt-lez-Manage;50.48698, 4.22959
Faulx-Les Tombes;50.42708, 5.02075
Estaimbourg;50.67998, 3.30785
Erpe;50.93565, 3.97219
Ekeren;51.28087, 4.41813
De Panne;51.09793, 2.59368
Dave;50.4147, 4.88789
Dampremy;50.41705, 4.43092
Crisnée;50.71703, 5.39802
Budingen;50.86509, 5.09847
Borchtlombeek;50.8479, 4.13884
Beloeil;50.55047, 3.73484
Anthisnes;50.48323, 5.519
Anhée;50.31039, 4.87827
Zichem;51.00187, 4.98316
Vurste;50.94321, 3.68307
Vucht;50.97832, 5.711
Vorst;51.08029, 5.01998
Vivegnis;50.69243, 5.64757
Veerle;51.06989, 4.98761
Tongerlo;51.12756, 5.6609
Tienen;50.80745, 4.9378
Thuillies;50.29899, 4.33269
Thiméon;50.48951, 4.42878
Thieusies;50.51525, 4.04931
Tavier;50.49634, 5.47063
Taintignies;50.55277, 3.34224
Stekene;51.2099, 4.03651
Sint-Gillis-bij-Dendermonde;51.01905, 4.11146
Sint-Denijs-Westrem;51.02135, 3.67202
Saint-Nicolas;50.62837, 5.53243
Saint-Gilles;50.82763, 4.34389
Polleur;50.5394, 5.88078
Ploegsteert;50.72659, 2.88019
Pamel;50.8453, 4.07129
Opitter;51.11705, 5.64749
Moorsel;50.94743, 4.09825
Mont-sur-Marchienne;50.38997, 4.40732
Moen;50.77013, 3.39485
Minderhout;51.41709, 4.76292
Mignault;50.53016, 4.15758
Meldert;50.78814, 4.83776
Marcinelle;50.39216, 4.44388
Marbais;50.54652, 4.53499
Lobbes;50.35258, 4.26716
Linkebeek;50.76781, 4.33688
Lille;51.24197, 4.82313
Liedekerke;50.86892, 4.08743
Kaprijke;51.2172, 3.61519
Jalhay;50.55876, 5.96764
Idegem;50.80178, 3.92595
Hyon;50.43805, 3.96031
Hermalle-sous-Huy;50.5592, 5.3639
Herenthout;51.1401, 4.75572
Hallaar;51.0842, 4.72918
Haasrode;50.83169, 4.72953
Haacht;50.97737, 4.63777
Grand-Rechain;50.60765, 5.81108
Gouvy;50.186, 5.93917
Glain;50.64772, 5.5438
Gierle;51.26852, 4.86733
Zarren;51.01844, 2.95814
Woesten;50.89971, 2.78959
Wichelen;51.00526, 3.97683
Welle;50.89876, 4.05602
Wechelderzande;51.26304, 4.78652
Wangenies;50.48023, 4.52019
Wakken;50.93304, 3.39743
Waarloos;51.10597, 4.45482
Vitrival;50.39282, 4.65769
Strée-lez-Huy;50.49039, 5.32348
Sint-Katelijne-Waver;51.06691, 4.53469
Sart-Bernard;50.40206, 4.9593
Rotheux-Rimière;50.53356, 5.48063
Rocourt;50.67579, 5.54621
Quiévrain;50.40737, 3.68351
Pulle;51.20317, 4.71434
Poederlee;51.22769, 4.84034
Péruwelz;50.50819, 3.59373
Oedelem;51.17033, 3.33762
Neufvilles;50.57107, 4.00041
Nazareth;50.95686, 3.59425
Moorsele;50.8409, 3.15971
Molenbeersel;51.17041, 5.73761
Masnuy-Saint-Jean;50.53209, 3.94032
Manhay;50.29219, 5.67562
Lubbeek;50.88278, 4.83896
Loyers;50.46324, 4.95136
Lesve;50.37705, 4.77785
Kleine-Brogel;51.17267, 5.45059
Kapellen;51.31377, 4.43539
Housse;50.67846, 5.69109
Houdeng-Goegnies;50.49032, 4.17513
Herent;50.90861, 4.67056
Hamme-Mille;50.78022, 4.71734
Halle;50.73385, 4.23454
Haccourt;50.73091, 5.66963
Haaltert;50.90634, 4.00093
Gijzegem;50.98602, 4.04938
Evere;50.87441, 4.39905
Étalle;49.67385, 5.60019
Erpent;50.45116, 4.90557
Eppegem;50.96237, 4.45513
Elversele;51.11806, 4.14904
Eine;50.86726, 3.61815
Écaussinnes-d'Enghien;50.56822, 4.1658
Diepenbeek;50.90769, 5.41875
Couvin;50.05284, 4.49495
Courrière;50.38023, 4.98608
Champlon;50.10819, 5.50192
Céroux-Mousty;50.66089, 4.5207
Borsbeek;51.19661, 4.48543
Borgerhout;51.20957, 4.43539
Belgrade;50.47138, 4.82935
Beerst;51.05983, 2.88501
Bassenge;50.75883, 5.60989
Awirs;50.60014, 5.40627
Averbode;51.02887, 4.98067
Auderghem;50.81667, 4.43333
Ath;50.62937, 3.77801
