Name;Coordinates
Hansbeke;51.07442, 3.53571
Haltinne;50.45119, 5.07731
Grotenberge;50.87332, 3.82278
Geer;50.6699, 5.17364
Ganshoren;50.87065, 4.31531
Fraire;50.26127, 4.5076
Fosses-la-Ville;50.39517, 4.69623
Fontaine-Valmont;50.31994, 4.21467
Flémalle-Haute;50.59994, 5.44471
Esen;51.0294, 2.90189
Engis;50.58156, 5.39916
Elsenborn;50.45798, 6.21918
Ellikom;51.12766, 5.52389
Écaussinnes-Lalaing;50.56865, 4.18398
Durnal;50.33653, 4.98616
De Pinte;50.99339, 3.64747
Couthuin;50.5316, 5.12323
Buvrinnes;50.38873, 4.2054
Bever;50.91667, 4.31667
Betekom;50.98683, 4.78185
Beerse;51.31927, 4.85304
Baasrode;51.03805, 4.1546
Arlon;49.68333, 5.81667
Angleur;50.6113, 5.59942
Aarschot;50.98715, 4.83695
Zevergem;50.97931, 3.69319
Zedelgem;51.14236, 3.1368
Wijchmaal;51.13515, 5.41334
Vissenaken;50.83846, 4.90489
Villers-l'Évêque;50.70454, 5.4396
Villers-la-Ville;50.57953, 4.53398
Tremelo;50.99231, 4.70807
Tintigny;49.68326, 5.51349
Sint-Stevens-Woluwe;50.86838, 4.45195
Sint-Martens-Latem;51.01459, 3.63779
Sint-Martens-Bodegem;50.86185, 4.21317
Sint-Lenaarts;51.34868, 4.68009
Sint-Katherina-Lombeek;50.87314, 4.1536
Saive;50.65316, 5.68517
Rumes;50.5545, 3.30535
Pottes;50.73294, 3.40703
Pondrôme;50.09922, 5.00959
Perk;50.93571, 4.49615
Oostnieuwkerke;50.93959, 3.05742
Oleye;50.71396, 5.28133
Brakel;50.80101, 3.76264
Maaseik;51.09802, 5.78379
Kuurne;50.85143, 3.2824
Koolkerke;51.23931, 3.24745
Kerkhove;50.79851, 3.50267
Hofstade;50.9613, 4.02663
Hever;50.99545, 4.55126
Haneffe;50.63835, 5.32013
Gistel;51.15612, 2.96387
Gembloux;50.56149, 4.69889
Froidchapelle;50.15106, 4.32742
Sint-Pieters-Voeren;50.73863, 5.82224
Florenville;49.69983, 5.3074
Etikhove;50.81162, 3.62489
Ensival;50.58053, 5.84927
Elene;50.89004, 3.81001
Damme;51.25147, 3.28144
Cortil-Noirmont;50.58111, 4.64344
Corroy-le-Grand;50.66306, 4.674
Comblain-au-Pont;50.47488, 5.57711
Chaudfontaine;50.5828, 5.6341
Bovigny;50.22417, 5.91694
Bossut-Gottechain;50.75823, 4.69511
Boom;51.09242, 4.3717
Blaton;50.50038, 3.66008
Bilstain;50.62208, 5.92086
Bassevelde;51.23103, 3.67798
Barvaux;50.34832, 5.49058
Balen;51.16837, 5.17027
Antoing;50.56765, 3.4492
Acoz;50.35904, 4.53263
Zwijndrecht;51.21979, 4.32664
Zoerle-Parwijs;51.08969, 4.87108
Zichen-Zussen-Bolder;50.79422, 5.62483
Zandbergen;50.80279, 3.96636
Woumen;51.00145, 2.86965
Wolvertem;50.95172, 4.30964
Willemeau;50.57435, 3.35031
Wemmel;50.90812, 4.30613
Warsage;50.73517, 5.7688
Waasmunster;51.10572, 4.08573
Waardamme;51.11136, 3.22288
Tubize;50.69059, 4.2009
Thy-le-Château;50.28205, 4.42955
Thommen;50.21917, 6.07417
Tertre;50.4692, 3.81243
Teralfene;50.89195, 4.09895
Temploux;50.48558, 4.75468
Steenhuffel;50.99539, 4.26788
Solre-sur-Sambre;50.30809, 4.15429
Schaerbeek;50.86935, 4.37737
Saintes;50.70499, 4.16006
Rotselaar;50.95302, 4.71665
Rosières;50.73097, 4.54473
Roksem;51.16885, 3.0329
Pulderbos;51.2171, 4.69357
Poulseur;50.50907, 5.57864
Pironchamps;50.43181, 4.52019
Othée;50.71592, 5.46724
Oreye;50.73187, 5.35818
Oppuurs;51.06629, 4.24222
Oplinter;50.83023, 4.99002
Onkerzele;50.78212, 3.91145
Oetingen;50.77318, 4.0635
Niel-bij-As;51.01851, 5.60526
Mussy-la-Ville;49.57009, 5.66191
Micheroux;50.62475, 5.71847
Meux;50.55222, 4.80103
Marchienne-au-Pont;50.40573, 4.3953
Liège;50.63373, 5.56749
Le Roux;50.38877, 4.62404
Kortenaken;50.90862, 5.05968
Kester;50.76398, 4.12058
Kersbeek-Miskom;50.88544, 4.99578
Hotton;50.26742, 5.44609
Herbeumont;49.78086, 5.2358
Hellebecq;50.66426, 3.88839
Haine-Saint-Pierre;50.45747, 4.20659
Godarville;50.49496, 4.28698
Galmaarden;50.75389, 3.97121
Fontaine-l'Évêque;50.40907, 4.32427
Dilsen;51.03718, 5.72096
Deinze;50.98175, 3.53096
Buzet;50.54038, 4.36998
Buizingen;50.74227, 4.25278
Bévercé;50.44101, 6.03535
Bever;50.71635, 3.94117
Berchem;51.19021, 4.43264
Bazel;51.14741, 4.30129
Baisy-Thy;50.59708, 4.47598
As;51.00755, 5.58453
Anseroeul;50.72739, 3.5237
Achel;51.253, 5.47977
Westkerke;51.16448, 3.01084
Wépion;50.42153, 4.86403
Wanfercée-Baulet;50.47291, 4.58748
Walhain-Saint-Paul;50.62627, 4.69837
Vreren;50.75168, 5.49588
Vrasene;51.22098, 4.19094
Vielsalm;50.28407, 5.91502
Tilleur;50.61805, 5.54277
Testelt;51.01084, 4.95312
Strépy-Bracquegnies;50.4728, 4.12022
Snaaskerke;51.17737, 2.93901
Seneffe;50.53135, 4.26301
Schulen;50.95972, 5.1901
Schaffen;50.99993, 5.08667
Saint-Sauveur;50.70604, 3.59782
Rocherath;50.43706, 6.30049
Raeren;50.6672, 6.11535
Paal;51.03988, 5.17233
Overmere;51.04691, 3.9466
Ouffet;50.4387, 5.4657
Opdorp;51.02806, 4.21801
Oosterzele;50.95261, 3.79826
Obaix;50.52996, 4.36089
Nederboelare;50.77596, 3.87148
Mont-Sainte-Aldegonde;50.43006, 4.23263
Molenstede;51.00401, 5.01298
Mol;51.19188, 5.11662
Melle;51.00232, 3.80526
Manderfeld;50.3312, 6.33919
Lint;51.12707, 4.49669
Letterhoutem;50.92768, 3.8797
Lens-sur-Geer;50.72162, 5.35086
Langdorp;50.99561, 4.87175
Kerkom;50.85568, 4.87422
Izel;49.69371, 5.37382
Huise;50.90059, 3.59096
Hollain;50.54165, 3.42605
Herselt;51.05159, 4.88231
Havinnes;50.61658, 3.46341
Hamois;50.3402, 5.15619
Hamoir;50.42675, 5.53304
Grâce-Berleur;50.64032, 5.50329
Ghlin;50.47313, 3.90289
Gent;51.05, 3.71667
Frasnes-lez-Gosselies;50.53838, 4.45232
Evregnies;50.7126, 3.28654
Corroy-le-Château;50.53896, 4.66284
Chiny;49.73833, 5.34104
Burdinne;50.58454, 5.07663
Brasschaat;51.2912, 4.49182
Bost;50.78879, 4.94076
Booischot;51.05219, 4.7751
Beyne-Heusay;50.62251, 5.66508
Berchem;50.79017, 3.51317
Beersel;50.76589, 4.3002
Attenhoven;50.76591, 5.09296
Arendonk;51.32267, 5.08289
Aiseau;50.41158, 4.58671
Agimont;50.1659, 4.79579
Zeveneken;51.10781, 3.89048
Wuustwezel;51.39214, 4.59546
Wommersom;50.81266, 5.01771
Wevelgem;50.8, 3.16667
Westkapelle;51.31511, 3.3017
Warneton;50.75158, 2.94635
Warcoing;50.70447, 3.3462
Waimes;50.41488, 6.11207
Vlijtingen;50.83202, 5.58432
Vlamertinge;50.85485, 2.82024
Viersel;51.18769, 4.64918
Velm;50.7787, 5.13096
Velaine;50.47805, 4.61031
Stambruges;50.50939, 3.71621
Soy;50.286, 5.51153
Soignies;50.57904, 4.07129
Scheldewindeke;50.93436, 3.78663
Roosbeek;50.83608, 4.86282
Ronse;50.74574, 3.6005
Quévy-le-Petit;50.36879, 3.93602
Petegem-aan-de-Leie;50.96667, 3.53333
Opbrakel;50.79201, 3.74862
Nivelles;50.59833, 4.32848
Niel;51.11096, 4.33428
Nethen;50.7832, 4.67503
Neerlinter;50.83971, 5.02287
Nederokkerzeel;50.91943, 4.56388
Munsterbilzen;50.88939, 5.52647
Mourcourt;50.65322, 3.44468
Montenaken;50.72092, 5.12941
Merksplas;51.35851, 4.86513
Meldert;50.93449, 4.13504
Malmédy;50.42686, 6.02794
Longlier;49.85384, 5.45009
Lombardsijde;51.15, 2.75
Lissewege;51.29427, 3.19331
Limelette;50.68428, 4.57186
Lierneux;50.28477, 5.79236
Knokke;51.35113, 3.28744
Isières;50.66317, 3.81929
Humbeek;50.96799, 4.3796
Houdeng-Aimeries;50.48132, 4.14545
Horion-Hozémont;50.62578, 5.38819
Hombeek;51.01753, 4.43891
Hollogne-aux-Pierres;50.64059, 5.47179
Herseaux;50.71667, 3.21667
Grivegnée;50.62148, 5.61101
Glons;50.75307, 5.54578
Genly;50.38953, 3.91242
Zele;51.06566, 4.0403
Wingene;51.05782, 3.27359
Westmalle;51.29767, 4.69013
Vossem;50.8363, 4.56036
Vlierzele;50.93171, 3.8959
Verlaine;50.60743, 5.3174
Tollembeek;50.74096, 4.00666
Spa;50.48375, 5.86674
Sint-Kwintens-Lennik;50.80377, 4.15489
Sint-Kruis;51.21399, 3.24949
Sauvenière;50.58157, 4.72466
Sainte-Ode;50.01723, 5.51926
Richelle;50.71396, 5.69564
Retinne;50.63084, 5.69821
Ressaix;50.42285, 4.19442
Profondeville;50.37581, 4.86506
Philippeville;50.19612, 4.54374
Opvelp;50.81017, 4.79347
Ophoven;51.12571, 5.80155
Ollignies;50.68794, 3.86229
Oevel;51.13789, 4.90471
Nimy;50.47668, 3.95516
Moustier-sur-Sambre;50.46668, 4.69614
Morlanwelz-Mariemont;50.45502, 4.24519
Mollem;50.93118, 4.22627
Meise;50.93934, 4.32655
Maubray;50.55085, 3.50395
Manage;50.50312, 4.23589
Malonne;50.43969, 4.79562
Mainvault;50.64908, 3.71751
Leval-Trahegnies;50.4213, 4.22556
Lessines;50.71104, 3.83579
Ledegem;50.85785, 3.12409
Lede;50.96626, 3.98594
Kwaadmechelen;51.10099, 5.14478
Keiem;51.08144, 2.88217
Kapelle-op-den-Bos;51.0097, 4.36303
Jauche;50.68136, 4.95563
Houthem;50.7869, 2.96382
Hoogstraten;51.40029, 4.76034
Heist;51.33867, 3.23882
Havelange;50.38931, 5.23816
Hasselt;50.93106, 5.33781
Harzé;50.44133, 5.66706
Hanzinelle;50.29615, 4.55633
Habay-la-Neuve;49.7282, 5.6474
Grammene;50.97779, 3.46706
Gouy-lez-Piéton;50.4907, 4.3289
Flénu;50.43673, 3.88573
Flawinne;50.45794, 4.81047
Érezée;50.29292, 5.55815
Dour;50.39583, 3.77792
Diest;50.98923, 5.05062
Deftinge;50.78656, 3.83978
Corswarem;50.71097, 5.2137
Colfontaine;50.4141, 3.85569
Casteau;50.51233, 4.01121
Burcht;51.20393, 4.34286
Bredene;51.23489, 2.97559
Bonnert;49.71131, 5.81865
Boechout;51.15959, 4.49195
Bocholt;51.17337, 5.57994
Binkom;50.87163, 4.88414
Begijnendijk;51.01942, 4.78377
Beernem;51.13981, 3.33896
Assenois;49.80244, 5.46371
Assenede;51.22598, 3.75085
Evergem;51.11306, 3.70976
Everbeek;50.7626, 3.80852
Couture-Saint-Germain;50.67484, 4.47255
Couillet;50.39139, 4.45908
Ciney;50.29449, 5.10015
Chaumont-Gistoux;50.67753, 4.7212
Chapelle-lez-Herlaimont;50.4713, 4.28227
Bottelare;50.96411, 3.75487
Blankenberge;51.31306, 3.13227
Bissegem;50.82378, 3.22844
Bellegem;50.77686, 3.27933
Balegem;50.9257, 3.79076
Asse;50.91011, 4.19836
Antheit;50.54927, 5.24022
Zulte;50.91954, 3.44859
Zétrud-Lumay;50.75715, 4.88711
Wijnegem;51.22787, 4.51895
Wihogne;50.72918, 5.50484
Walem;51.06705, 4.45842
Vladslo;51.04644, 2.91601
Varsenare;51.18981, 3.13916
Vance;49.67163, 5.66571
Ursel;51.12895, 3.48655
Tourinnes-la-Grosse;50.78299, 4.74438
Tilff;50.56432, 5.57642
Stevoort;50.91862, 5.25327
Steenokkerzeel;50.91851, 4.50989
Sint-Denijs;50.75198, 3.36627
Schriek;51.02844, 4.69357
Saint-Georges-sur-Meuse;50.60007, 5.3574
Rummen;50.88912, 5.16521
Rotem;51.05289, 5.74096
Roselies;50.43028, 4.57203
Rekkem;50.7837, 3.16346
Rance;50.14248, 4.27917
Presles;50.38417, 4.57838
Poperinge;50.85386, 2.72659
Pipaix;50.58297, 3.57956
Obourg;50.47384, 4.00881
Nevele;51.03531, 3.54574
Montzen;50.70793, 5.96223
Maasmechelen;50.96545, 5.69452
Lot;50.7679, 4.27711
Loonbeek;50.80941, 4.60971
Lillois-Witterzée;50.64549, 4.36681
Lembeke;51.19487, 3.63333
La Hestre;50.47556, 4.24739
Jodoigne;50.72357, 4.86914
Hergenrath;50.70912, 6.03089
Genval;50.72162, 4.49375
Gentbrugge;51.03692, 3.76509
Zottegem;50.86955, 3.81052
Zillebeke;50.83464, 2.92249
Zaffelare;51.13385, 3.86357
Wellin;50.08133, 5.11413
Voorde;50.82306, 3.94928
Vieux-Genappe;50.60846, 4.44097
Uitbergen;51.02152, 3.95505
Tournai;50.60715, 3.38932
Theux;50.53323, 5.81245
Spiere;50.7189, 3.35626
Snellegem;51.16776, 3.11921
Sirault;50.50546, 3.78908
Sint-Maria-Oudenhove;50.83364, 3.79556
Sint-Gillis-Waas;51.21914, 4.12374
Semmerzake;50.94369, 3.66318
Roisin;50.33237, 3.69553
Rijmenam;51.0016, 4.58405
Plombières;50.73656, 5.95922
Plancenoit;50.66228, 4.42835
Otegem;50.80693, 3.42043
Orgeo;49.8339, 5.30646
Onze-Lieve-Vrouw-Waver;51.06265, 4.57941
Olmen;51.14228, 5.14999
Nieuwenrode;50.97961, 4.35282
Muizen;51.01111, 4.51427
Moerzeke;51.06914, 4.16137
Michelbeke;50.8355, 3.76249
Merksem;51.24623, 4.44903
Maria Aalter;51.09455, 3.36917
Lokeren;51.10364, 3.99339
Lincent;50.71222, 5.03654
Leut;50.99107, 5.73624
Lemberge;50.97629, 3.77054
Lebbeke;51.00464, 4.13457
La Roche-en-Ardenne;50.18361, 5.57547
Laplaigne;50.52194, 3.4473
Laneffe;50.27936, 4.49344
Laarne;51.03078, 3.85077
Koersel;51.05909, 5.27121
Kinrooi;51.14543, 5.74207
Kasterlee;51.24118, 4.96651
Helchteren;51.05591, 5.38244
Hauset;50.7107, 6.06969
Hamont;51.25332, 5.54732
Grez-Doiceau;50.73901, 4.69829
Gits;50.99687, 3.09564
Gellik;50.88473, 5.61007
Fléron;50.61516, 5.68062
Fauvillers;49.85116, 5.66405
Ettelgem;51.17984, 3.02919
Essen;51.46791, 4.46901
Erondegem;50.94118, 3.95611
Eksaarde;51.14876, 3.96814
Éghezée;50.59076, 4.91175
Dolembreux;50.53763, 5.62556
Dison;50.61004, 5.8534
Dadizele;50.85138, 3.09468
Chasse Royale;50.42842, 3.95001
Boezinge;50.89672, 2.85421
Bellevaux-Ligneuville;50.38948, 6.01093
Bambrugge;50.92115, 3.92993
Assesse;50.36934, 5.02204
Alveringem;51.01238, 2.71117
Adinkerke;51.07409, 2.59914
Frameries;50.40578, 3.89603
Fexhe-le-Haut-Clocher;50.6654, 5.39978
Erquelinnes;50.30688, 4.11129
Doische;50.13356, 4.73545
Denderwindeke;50.79731, 4.02512
Cuesmes;50.43624, 3.92323
Bullange;50.40731, 6.25749
Bree;51.14152, 5.5969
Bouge;50.47193, 4.89218
Biez;50.72369, 4.71356
Bièvre;49.94085, 5.01591
Bierges;50.71143, 4.58658
Beuzet;50.53364, 4.7452
Beaufays;50.55884, 5.63881
Avelgem;50.77618, 3.44502
Autre-Église;50.66921, 4.90381
Asper;50.9137, 3.65126
Ardooie;50.9757, 3.19736
Aalter;51.09017, 3.44693
Aalbeke;50.77848, 3.22952
Zomergem;51.11994, 3.56496
Zerkegem;51.16645, 3.06994
Wihéries;50.38543, 3.75372
Wiekevorst;51.10796, 4.7924
Werchter;50.97308, 4.7012
Waregem;50.88898, 3.42756
Wambeek;50.85281, 4.16169
Houtain-l'Évêque;50.71667, 5.08333
Vorselaar;51.20243, 4.77259
Tiegem;50.80901, 3.47479
Stene;51.20437, 2.91259
Soye;50.44958, 4.7303
Somzée;50.29514, 4.48209
Sleidinge;51.13363, 3.67405
Sint-Huibrechts-Lille;51.22266, 5.49437
Schuiferskapelle;51.03244, 3.33799
Rumbeke;50.93248, 3.16716
Roux;50.44111, 4.3917
Ronquières;50.60853, 4.22081
Recogne;49.91232, 5.3537
Quenast;50.66959, 4.15661
Putte;51.05337, 4.63263
Piéton;50.43972, 4.29752
Pellenberg;50.87245, 4.79394
Ottenburg;50.75161, 4.6164
Oostrozebeke;50.92093, 3.33799
Oordegem;50.95727, 3.90201
Olne;50.58994, 5.74662
Ninove;50.82776, 4.02657
Nieuwpoort;51.13008, 2.75135
Nieuwerkerken;50.92386, 4.00433
Nederhasselt;50.84646, 3.97497
Montigny-le-Tilleul;50.38056, 4.37582
Mons-lez-Liège;50.62306, 5.45626
Moignelée;50.44581, 4.5837
